customer_id,meter_id,account_number,tariff_category,rate_plan_id,division,connection_date,contract_status,sanctioned_load_kw,security_deposit,avg_monthly_units,phone,email,meter_type,utility_type,scd_effective_start,scd_effective_end,scd_current_flag,record_version,created_at,last_updated
CUST001584,MTR001584,ACC43219225,Residential,RP002,West,2017-04-18,Active,301.13,UNKNOWN,,+919172488556,customer1584@gmail.com,0,Water,2024-06-20,9999-12-31,1,4,2017-04-18 13:38:41,2024-09-03 09:38:55
CUST002183,MTR002183,ACC21046809,Residential,RP001,Central,2018-12-27,Active,,20942.11,374.95,+919787123305,customer2183@gmail.com,AMI,Gas,2022-09-27,,0,1,2018-12-27 09:20:24,2022-05-23 04:50:44
CUST000284,MTR000284,ACC14978961,Residential,RP004,East,2015-06-22,Active,322.3,UNKNOWN,149.05,,customer284@gmail.com,Smart Meter,Electricity,2024-02-21,9999-12-31,1,4,,
CUST004556,MTR004556,ACC81762260,Residential,RP001,Central,2017-10-19,Suspended,437.25,21668.62,119.02,+917189828079,customer4556@gmail.com,AMR,Electricity,2022-08-16,2023-03-08,0,2,2017-10-19 17:28:26,2022-03-24 10:23:49
CUST000986,MTR000986,ACC62291570,Industrial,RP003,West,2016-06-02,Active,198.41,32784.74,16781.97,+919606047024,customer986@gmail.com,AMR,Electricity,2024-06-08,9999-12-31,1,1,2016-06-02 23:25:10,2024-11-08 04:01:26
CUST004915,MTR004915,ACC91543290,Industrial,RP005,West,2017-06-17,Active,278.02,32080.92,43910.62,+919148874469,customer4915@yahoo.com,AMI,Water,2024-10-12,9999-12-31,1,2,2017-06-17 19:08:40,2022-01-05 14:41:37
CUST004833,MTR004833,ACC11623270,Residential,RP002,East,2017-12-05,Active,196.67,21789.04,268.25,+919223709746,customer4833@yahoo.com,Smart Meter,Water,2024-06-21,2024-11-13,0,3,2017-12-05 21:46:38,2022-07-26 12:32:51
CUST005000,0,ACC84126888,Commercial,RP001,Central,,Active,407.44,UNKNOWN,2013.46,+918553324221,customer5000@gmail.com,AMR,Electricity,2024-08-18,9999-12-31,1,4,2015-01-15 01:42:04,2022-02-09 18:48:51
CUST003526,MTR003526,ACC84441600,Residential,RP001,SOUTH,2013-08-17,Active,-,5399.48,0,,customer3526@yahoo.com,Smart Meter,Electricity,2024-04-05,2024-12-11,0,4,,2023-09-16 20:08:46
CUST002792,MTR002792,ACC75915258,Residential,RP006,East,2011-05-10,Active,9.59,30091.21,347.13,+919412142829,customer2792@gmail.com,AMI,Electricity,2023-11-13,9999-12-31,1,2,2011-05-10 08:00:27,2024-02-20 01:58:47
CUST002284,MTR002284,ACC24367843,Residential,RP005,East,2021-12-09,Active,296.04,29900.89,143.53,+917081913430,,Smart Meter,Gas,1673395200,2023-12-02,0,4,2021-12-09 14:59:28,2024-05-22 17:49:18
CUST004168,MTR004168,ACC28905445,Street Lighting,RP002,West,2015-04-04,Active,199.3,20454.5,175.12,+917400117244,customer4168@gmail.com,,WATER,2022-10-28,2023-11-30,0,3,2015-04-04 10:43:00,2024-04-16 02:23:07
CUST002066,MTR002066,ACC34225149,Residential,RP003,West,2014-10-12,active,262.27,6677.76,346.15,+917583399327,customer2066@yahoo.com,Smart Meter,Water,2023-08-11,2023-12-29,0,1,2014-10-12 17:32:14,
CUST003124,MTR003124,ACC88225139,commercial,RP006,East,2020-03-29,Active,410.93,8052.01,580.15,+917920658378,,Smart Meter,Gas,2022-02-07,2023-09-15,0,2,2020-03-29 12:39:19,2023-07-20 15:35:13
CUST001431,0,ACC66296446,Residential,RP005,South,2016-12-08,Active,275.94,40839.95,321.7,+919958953744,customer1431@yahoo.com,Conventional,Electricity,2024-01-23,9999-12-31,1,3,2016-12-08 15:31:33,2024-03-04 20:18:38
CUST002976,MTR002976,ACC78106053,Residential,RP005,North,2017-10-25,Disconnected,208.49,41428.01,266.14,+917966331190,customer2976@gmail.com,Conventional,Electricity,2022-11-16,2023-12-19,0,3,2017-10-25 20:12:50,2024-11-14 02:12:53
CUST000530,MTR000530,ACC16956697,Residential,-,South,2015-01-29,Active,268.13,29434.01,112.99,,customer530@yahoo.com,AMI,Electricity,2024-08-14,9999-12-31,1,4,2015-01-29 21:08:06,2022-12-09 00:58:02
CUST004489,MTR004489,ACC46479617,Residential,RP003,West,2015-09-27,Active,93.46,25082.56,215.72,+919840097645,customer4489@gmail.com,Prepaid,Electricity,2023-12-16,9999-12-31,1,1,2015-09-27 02:35:23,2023-08-01 20:21:47
CUST004809,MTR004809,ACC52298277,Residential,RP006,West,2013-07-21,Disconnected,345.76,11238.48,268.94,+917572076383,0,Prepaid,Electricity,2024-01-27,9999-12-31,1,1,,2023-03-21 02:25:53
CUST000462,MTR000462,ACC97600209,Residential,RP001,North,2015-09-15,Active,227.59,15362.35,358.22,+918408611366,customer462@yahoo.com,Smart Meter,Electricity,2022-04-20,2023-01-27,0,3,,2024-04-28 22:41:41
CUST003745,MTR003745,ACC52069133,-,,WEST,2021-07-08,Active,404.95,0,147.81,+917940842780,customer3745@yahoo.com,Smart Meter,Electricity,2022-06-11,,0,3,2021-07-08 03:12:21,2022-03-02 18:18:14
CUST002044,MTR002044,ACC79420718,Agricultural,RP003,Central,2016-06-15,Active,75.19,32339.5,765.34,+918998928750,customer2044@gmail.com,Conventional,WATER,2023-03-11,2023-10-09,0,3,2016-06-15 21:39:18,2024-06-25 18:41:58
CUST002123,MTR099269,ACC95297193,UNKNOWN,RP002,South,2011-04-15,Active,134.57,22859.54,851.03,+919798040582,customer2123@gmail.com,Prepaid,Water,2023-05-12,2023-08-18,0,4,2011-04-15 14:01:43,2023-09-01 22:01:22
CUST000658,MTR000658,ACC32965661,Industrial,RP002,West,2011-10-11,Active,112.71,7242.3,22938.62,+919973350740,customer658@gmail.com,Conventional,Electricity,2022-01-14,2023-02-27,0,2,2011-10-11 18:52:32,2022-03-01 01:13:57
CUST003596,MTR003596,ACC33476578,Industrial,RP005,West,2016-04-17,Active,204.15,32786.12,5624.96,+918636888985,customer3596@yahoo.com,,Electricity,2023-12-17,9999-12-31,1,3,2016-04-17 14:06:06,2024-01-10 10:21:47
CUST004960,MTR004960,ACC96385558,Residential,RP001,West,2012-08-13,Active,191.9,16811.8,311.86,+919862055905,customer4960@gmail.com,AMI,Water,2024-04-25,9999-12-31,1,1,2012-08-13 10:35:14,2024-04-10 02:07:42
CUST003934,MTR003934,ACC77360984,Commercial,RP006,West,2017-07-17,Suspended,210.87,3954.89,1770.76,+917092902127,customer3934@gmail.com,Ami,Electricity,2024-03-31,2024-10-29,0,4,2017-07-17 07:14:40,2023-11-17 16:34:56
CUST004583,MTR004583,ACC74486295,0,RP002,South,2010-07-26,Active,285.71,708.05,360.8,+919062633586,customer4583@yahoo.com,Smart Meter,Water,2024-10-31,9999-12-31,1,2,2010-07-26 14:36:18,2024-03-14 23:03:02
CUST002660,MTR002660,ACC97110366,Agricultural,RP002,North,2019-10-05,Active,111.62,5874.78,686.91,+918935056544,customer2660@gmail.com,AMI,Electricity,2024-07-07,9999-12-31,1,3,2019-10-05 00:11:10,2024-06-02 11:48:01
CUST001303,MTR001303,ACC16187912,Residential,RP006,Central,2014-10-29,Active,476.6,37081.99,312.03,+919574975705,customer1303@gmail.com,AMI,Electricity,2023-06-14,2024-02-28,0,1,2014-10-29 22:48:37,2024-04-10 09:43:36
CUST000518,MTR000518,ACC90522906,Residential,RP001,South,2021-06-05,Active,413.99,9787.64,-,+918442266138,customer518@yahoo.com,SMART METER,Electricity,2023-07-20,2024-04-15,0,2,2021-06-05 04:38:01,2022-11-13 22:57:48
CUST001464,MTR001464,ACC84993866,Agricultural,RP004,South,2017-11-27,Active,55.85,26197.13,994.16,+919245869906,customer1464@gmail.com,Conventional,Electricity,2024-01-03,2024-05-10,0,3,2017-11-27 00:25:07,2023-01-14 18:28:04
CUST000059,MTR000059,ACC57083992,Residential,RP003,East,2010-01-23,Active,52.6,7240.05,341.79,+918230782660,customer59@gmail.com,Prepaid,Electricity,2022-04-24,2022-10-21,0,3,2010-01-23 20:16:11,2022-12-10 06:38:27
CUST002735,MTR002735,ACC83953280,Residential,RP006,Central,2020-10-21,Active,379.58,45794.24,366.2,+918587378541,customer2735@gmail.com,Prepaid,Water,2022-05-21,2023-10-01,0,1,,2023-02-16 18:27:33
CUST001600,MTR001600,ACC53619104,Residential,RP004,Central,2021-10-11,ACTIVE,186.62,9410.31,294.26,+919318208076,0,Prepaid,GAS,1713484800,9999-12-31,1,2,2021-10-11 13:56:37,2024-06-21 19:58:32
CUST002841,MTR002841,ACC39861068,Residential,RP001,West,2014-04-18,Active,271.95,29954.08,310.5,+918404605699,customer2841@yahoo.com,Smart Meter,Electricity,2024-06-09,9999-12-31,1,3,2014-04-18 23:18:35,2022-08-24 13:07:10
CUST004114,MTR004114,ACC80042052,Agricultural,RP003,East,2016-01-16,Disconnected,240.78,24468.65,1165.88,+918955098462,customer4114@gmail.com,AMI,Electricity,2023-10-07,9999-12-31,1,2,2016-01-16 03:16:18,2023-12-26 15:02:05
CUST004210,MTR004210,ACC78503654,Residential,RP005,West,2015-01-20,Disconnected,210.18,5292.36,259.29,+918795738686,customer4210@yahoo.com,,Electricity,2022-01-10,2023-02-26,0,1,,
CUST003759,MTR003759,ACC41383026,Residential,RP001,Central,2019-04-27,Active,313.55,21047.25,235.95,+917551029896,customer3759@gmail.com,Smart Meter,Gas,2023-07-16,2024-06-17,0,3,2019-04-27 10:29:38,2022-05-27 08:57:10
CUST001399,MTR001399,ACC54653039,Residential,RP001,North,2021-08-14,Active,74.16,5527.93,346.69,0,customer1399@yahoo.com,Smart Meter,Electricity,2023-06-26,2024-05-20,0,1,2021-08-14 12:44:13,2023-02-10 18:20:37
CUST002449,MTR002449,ACC75651177,,RP002,East,2015-03-15,Active,250.08,46616.27,778.8,+918661349015,customer2449@gmail.com,Smart Meter,Water,2023-05-12,-,0,1,2015-03-15 11:17:47,
CUST003358,MTR003358,ACC83435906,Residential,RP002,East,2018-02-09,Active,25.16,12153.39,397.75,+918419052088,customer3358@yahoo.com,Smart Meter,Gas,2023-12-14,2024-08-18,0,1,2018-02-09 18:38:17,2022-10-30 19:00:44
CUST000360,MTR000360,,,RP001,East,2013-10-30,suspended,UNKNOWN,47937.19,1188.56,+918455607203,customer360@gmail.com,Smart Meter,Electricity,2023-03-02,2024-04-30,0,4,,
CUST002193,MTR002193,ACC19885564,Residential,RP006,South,2018-04-25,Active,62.08,6071.14,348.36,+917671615628,customer2193@gmail.com,Conventional,Gas,2023-09-01,9999-12-31,1,2,2018-04-25 18:22:53,2024-01-11 20:39:44
CUST001988,MTR001988,ACC14028377,Agricultural,RP005,West,2018-05-21,Active,367.92,43656.14,1539.31,+918479676365,customer1988@gmail.com,Conventional,WATER,2022-07-17,2022-11-19,0,4,2018-05-21 07:08:09,2023-06-02 09:41:46
CUST004329,MTR004329,ACC58613582,Residential,RP002,East,2016-03-02,Active,394.89,33612.18,221.95,+918605244180,customer4329@yahoo.com,AMI,Electricity,2022-03-27,2023-08-04,0,1,,2024-03-29 06:57:10
CUST000840,MTR000840,ACC80476756,Commercial,RP003,Central,2013-06-05,Disconnected,106.84,46418.07,3271.73,+919265917685,customer840@yahoo.com,UNKNOWN,Electricity,2024-10-14,9999-12-31,1,3,2013-06-05 01:01:00,2023-07-06 18:16:56
CUST000467,MTR000467,ACC19578482,Residential,RP003,West,2017-04-10,Active,430.91,13642.67,356.32,+919102258982,customer467@gmail.com,AMI,Water,2024-07-14,9999-12-31,1,2,,2024-06-08 08:15:59
CUST003740,MTR003740,ACC25811916,RESIDENTIAL,RP001,East,2019-08-13,Active,175.68,13820.77,365.03,+917489536971,-,Conventional,Electricity,2022-11-30,2024-06-28,0,1,2019-08-13 21:12:50,2023-03-24 10:05:16
CUST001420,MTR001420,ACC89816406,Residential,RP006,East,2016-02-07,Active,202.76,30429.53,388.63,+918640383767,customer1420@yahoo.com,AMR,electricity,2024-03-04,2024-09-14,0,1,2016-02-07 19:59:56,2022-12-09 07:44:59
CUST003637,MTR003637,ACC51531885,Residential,RP002,Central,2013-01-12,Active,375.63,,342.54,+919890028516,customer3637@yahoo.com,AMR,Electricity,2022-03-19,2023-05-21,0,1,2013-01-12 22:30:54,2022-04-08 23:40:43
CUST004112,MTR004112,ACC87041256,Residential,RP006,East,2013-12-05,Active,42.68,13441.52,152.16,+918602491918,customer4112@gmail.com,Prepaid,Electricity,2022-07-26,2023-05-12,0,1,2013-12-05 20:54:19,2022-03-14 03:57:54
CUST004940,MTR004940,ACC53951174,Residential,RP004,East,2021-03-05,Active,142.74,707.83,125.32,+917927016198,customer4940@gmail.com,Smart Meter,Electricity,2022-09-23,2023-02-18,0,2,2021-03-05 01:19:59,2024-04-13 08:15:37
CUST000586,MTR000586,ACC48851777,Agricultural,RP004,Central,2016-09-17,Active,316.76,26120.11,576.25,-,customer586@yahoo.com,Smart Meter,Gas,2024-07-16,2024-11-19,0,3,2016-09-17 13:42:58,2023-06-29 12:51:49
CUST001579,MTR001579,ACC15239463,residential,RP004,South,2016-01-03,Disconnected,150.44,4818.85,294.75,+918501782100,customer1579@yahoo.com,AMR,Electricity,1694476800,2024-10-28,0,1,2016-01-03 20:32:53,2022-01-06 15:02:46
CUST004907,MTR004907,ACC54995842,Street Lighting,RP003,East,2020-02-27,Active,446.88,40693.28,103.86,+917099258893,,Conventional,Water,2023-10-05,2024-04-08,0,3,2020-02-27 07:33:18,2023-05-22 10:16:34
CUST000920,MTR000920,ACC92079020,Commercial,RP002,North,2019-01-25,Active,292.32,11267.44,3793.15,+917731574476,customer920@gmail.com,AMR,ELECTRICITY,2022-08-23,2023-03-20,0,4,2019-01-25 08:19:05,2022-08-17 05:55:32
CUST003753,MTR003753,ACC86201955,Residential,RP001,Central,2020-11-26,Active,407.81,49403.55,198.34,+919893938806,customer3753@yahoo.com,Conventional,Water,2023-03-04,2024-07-03,0,3,2020-11-26 10:01:41,2024-08-11 21:06:58
CUST000180,MTR000180,ACC19925319,Residential,RP003,Central,,Active,413.57,9526.52,110.25,+917664177400,-,AMR,Electricity,2023-08-29,9999-12-31,1,3,,2022-06-09 10:19:56
CUST002464,UNKNOWN,ACC80815407,Industrial,RP001,South,2018-10-02,Active,499.08,25827.75,31171.71,+919008124689,customer2464@gmail.com,Smart Meter,Gas,2023-01-10,2024-02-27,0,2,2018-10-02 21:10:54,2024-10-04 16:49:16
CUST002026,MTR002026,ACC42024800,Agricultural,RP005,East,2019-01-20,Suspended,308.94,9115.07,1161.11,+919619385945,customer2026@gmail.com,Smart Meter,Gas,2022-05-31,2023-03-11,0,1,,2024-03-19 09:20:22
CUST004160,MTR004160,ACC39098281,Street Lighting,RP006,South,,Active,51.31,26929.62,136.67,+919975408493,customer4160@gmail.com,AMR,Gas,2024-08-11,9999/12/31,1,3,,2023-04-30 04:52:37
CUST003900,MTR003900,ACC87790345,Commercial,RP006,West,2011-10-15,Active,431.67,42632.9,2959.99,+917018490738,customer3900@gmail.com,Smart Meter,Gas,2022-01-15,18/02/2023,0,3,2011-10-15 05:00:46,2022-06-10 13:23:59
CUST000456,MTR000456,ACC40684795,Commercial,RP003,Central,2021-12-04,Active,429.12,30661.62,3283.75,+917452191111,customer456@yahoo.com,AMI,Gas,2022-04-13,2023-02-04,0,1,2021-12-04 17:54:11,2023-01-01 02:44:05
CUST003868,MTR003868,ACC19524916,Agricultural,RP006,Central,2014-11-25,Active,,25807.76,1221.92,+917519318560,customer3868@yahoo.com,Conventional,Electricity,2022-10-08,2023-06-14,0,3,,2022-07-06 08:40:15
CUST002908,MTR099128,ACC88678815,Commercial,RP004,,2020-08-05,0,328.84,13004.35,1809.55,+919281356415,customer2908@yahoo.com,Smart Meter,Gas,2023-09-25,2024-04-08,0,3,2020-08-05 20:01:45,
CUST004033,MTR004033,ACC46850829,Agricultural,RP006,Central,2015-01-24,Active,372.14,32746.07,1196.77,+919790533700,customer4033@yahoo.com,Conventional,Electricity,2023-02-09,-,0,2,2015-01-24 05:24:26,2022-06-26 04:24:34
CUST002070,MTR002070,ACC51657953,Commercial,RP002,Central,2016-04-27,Active,202.04,2211.75,825.26,+917009953954,customer2070@gmail.com,Conventional,Electricity,2023-09-19,2024-06-27,0,2,2016-04-27 10:00:55,2022-10-03 19:22:49
CUST004312,MTR004312,ACC84924635,Agricultural,RP004,East,2018-10-06,0,12.01,34960.1,354.07,+917434643345,customer4312@yahoo.com,UNKNOWN,Electricity,2023-12-12,2024-07-22,0,2,2018-10-06 23:50:27,2024-12-09 02:56:49
CUST003467,MTR003467,ACC33620260,Industrial,RP001,Central,2019-10-13,Active,,17340.31,45677.58,+919783020670,customer3467@gmail.com,Smart Meter,Water,,9999-12-31,1,2,2019-10-13 12:28:01,2023-06-28 20:06:08
CUST003906,MTR003906,ACC81622666,Agricultural,RP005,West,2013-06-24,Suspended,29.46,886.98,1341.65,+919314044431,customer3906@yahoo.com,Conventional,Gas,2023-07-21,2024-08-17,0,1,,2022-07-08 05:49:44
CUST004253,UNKNOWN,ACC59234720,Residential,RP001,East,2016-06-08,ACTIVE,22.79,30337.97,228.96,+918195852334,customer4253@gmail.com,Conventional,Gas,,2024-02-10,0,1,2016-06-08 09:34:15,
CUST004780,MTR004780,ACC94348566,Residential,RP003,South,2020-02-07,Active,60.98,49514.93,398.13,+917605312806,customer4780@yahoo.com,AMR,Water,2022-03-29,2023-10-13,0,1,2020-02-07 06:31:04,2023-05-03 19:37:30
CUST004932,MTR004932,ACC71712933,Residential,RP004,CENTRAL,2020-10-25,Active,402.26,15021.48,348.5,+918512008980,customer4932@gmail.com,Prepaid,Gas,2023-11-18,9999-12-31,1,2,2020-10-25 14:58:42,2023-05-28 20:42:22
CUST004470,MTR004470,ACC22801116,Industrial,RP005,East,2018-03-26,Active,246.66,22853.1,5615.72,+917205513996,,Smart Meter,Water,2024-06-22,9999-12-31,1,2,2018-03-26 16:23:05,2022-03-09 00:33:30
CUST004574,MTR004574,ACC47595891,Residential,RP003,North,2018-10-15,Active,290.38,9258.76,222.81,+919223770381,customer4574@gmail.com,Smart Meter,Electricity,2024/06/07,9999-12-31,1,3,2018-10-15 11:43:51,2022-04-14 05:27:35
CUST001379,MTR001379,ACC32519225,Industrial,RP005,North,2021-06-28,Active,12.67,7783.92,,+917997016312,customer1379@gmail.com,AMR,Electricity,2023-02-10,07-12-2023,0,1,2021-06-28 18:40:57,2022-01-17 10:43:01
CUST000922,MTR000922,ACC35298810,Residential,RP001,North,2013-12-20,Active,441.27,31807.52,146.46,+919561499765,customer922@yahoo.com,AMI,Gas,2023-07-26,2024-10-28,0,1,2013-12-20 12:12:00,2022-04-13 17:30:53
CUST000224,,ACC30399385,Residential,RP003,East,2019-07-21,Active,179.19,-,366.17,+917907510940,customer224@gmail.com,Prepaid,Gas,2022-11-29,2023-10-20,0,4,2019-07-21 11:14:41,2023-08-16 11:25:55
CUST003621,MTR003621,ACC29068921,Agricultural,RP003,North,2011-01-06,Active,1.57,10357.71,298.02,+919644659397,,Smart Meter,Gas,05-06-2024,9999-12-31,1,1,2011-01-06 22:47:45,2022-08-07 19:22:29
CUST003462,MTR003462,ACC18238164,Residential,RP002,South,2017-11-01,Active,247.17,11901.28,268.47,UNKNOWN,customer3462@gmail.com,Conventional,Electricity,2022-07-14,2024-02-12,0,1,2017-11-01 07:30:40,2024-06-07 13:44:06
CUST001890,MTR001890,ACC96195890,Industrial,RP001,East,2018-01-15,Disconnected,114.75,25703.0,38197.59,+917118671624,customer1890@yahoo.com,Conventional,Water,2024-10-15,9999-12-31,1,1,2018-01-15 13:45:13,2022-05-28 18:10:28
CUST003001,MTR003001,ACC83254668,Residential,,North,2013-01-29,Active,447.18,17493.18,140.94,+918923488400,customer3001@gmail.com,Conventional,Gas,2024-08-16,9999-12-31,1,3,2013-01-29 04:44:45,2023-10-10 21:25:49
CUST001906,MTR001906,ACC46429292,Residential,RP003,West,2021-08-22,Pending,399.03,32111.41,230.06,+919173455678,customer1906@yahoo.com,Smart Meter,Electricity,2024-07-09,9999-12-31,1,3,2021-08-22 07:40:01,2023-04-16 09:34:20
CUST003801,MTR003801,ACC36423750,Residential,RP006,0,2016-10-21,Active,202.69,4326.29,315.05,+918204081770,customer3801@gmail.com,Smart Meter,Gas,2022-08-03,2023-03-09,0,2,,2022-02-12 01:43:53
CUST002426,0,ACC17442067,Commercial,RP006,Central,2010-06-11,Active,301.79,33430.25,4387.59,+917007597883,,Smart Meter,Electricity,2022-01-21,2023-03-25,0,3,2010-06-11 14:37:14,2023-08-16 09:40:27
CUST000353,MTR099859,ACC40969586,Commercial,RP003,North,,Active,221.09,,,+917020915447,customer353@yahoo.com,AMR,Electricity,2022-04-20,2022-07-23,0,3,2020-10-23 17:44:38,
CUST002104,MTR002104,ACC16627295,Commercial,RP002,South,2021-07-08,,244.34,47481.11,4541.19,+919871596734,customer2104@gmail.com,Prepaid,Electricity,2024-03-26,9999-12-31,1,2,2021-07-08 08:10:17,2024-07-01 17:20:45
